TAZ,Poly,Area,Weight,GenEdge,PedEdge
7,119338,64,0.0007825587224728856,149354#2,149354#2
7,127222,19,0.0002323221207341379,-149354#2,150022#0
7,115660,149,0.0018218945257571866,-148636,-148636
7,115646,503,0.006150422459435335,148995#4,148995#4
7,119346,68,0.0008314686426274409,-149904#0,150065
7,122426,104,0.001271657924018439,-149793#3,150065
7,115693,672,0.008216866585965299,149021,149021
7,115619,2205,0.026961593485198634,-148995#4,150004
7,116373,1078,0.013181223481652666,-149019#8,-149019#8
7,125732,34,0.00041573432131372044,-149354#3,-149354#3
7,115625,206,0.0025188608879596003,-148995#3,-148995#3
7,115649,128,0.0015651174449457712,-148995#4,-148995#4
7,125186,51,0.0006236014819705807,-149904#0,150065
7,115651,650,0.007947862025115243,-148995#4,-148995#4
7,126709,22,0.00026900456085005443,-149793#2,150065
7,115686,231,0.0028245478889255713,148767#0,148767#0
7,122539,125,0.0015284350048298547,-148926#0,149520#2
7,119374,118,0.0014428426445593828,-149793#3,-149793#3
7,114947,746,0.009121700108824573,149018#1,149018#1
7,114924,718,0.008779330667742684,149003#1,149003#1
7,125755,387,0.00473203477495323,-149354#2,-149354#2
7,115656,83,0.0010148808432070234,-149023,-149023
7,115687,221,0.0027022730885391828,149018#1,149018#1
7,115604,223,0.0027267280486164606,149893#7,149893#7
7,119368,101,0.0012349754839025226,149793#2,149793#2
7,122424,106,0.0012961128840957166,-149904#0,-149904#0
7,119501,4,4.890992015455535e-05,-149354#0,149498
7,114926,977,0.011946247997750143,-148995#2,-148995#2
7,115642,153,0.001870804445911742,149354#1,149518
7,115691,552,0.006749568981328638,-149018#1,-149018#1
7,114797,46,0.0005624640817773864,149350#3,149350#3
7,119490,122,0.0014917525647139382,-149354#2,149498
7,119367,71,0.0008681510827433575,149793#0,149924#2
7,119517,70,0.0008559236027047186,149350#3,149511#0
7,119512,57,0.0006969663622024137,149350#2,149512#0
7,115256,158,0.0019319418461049363,149019#4,149019#4
7,115658,1073,0.013120086081459472,149018#1,149018#1
7,125723,346,0.004230708093369038,-149904#0,-149904#0
7,114927,592,0.007238668182874192,-148995#3,150004
7,122429,101,0.0012349754839025226,-149904#0,-149904#0
7,115669,409,0.005001039335803284,-148926#1,-148926#1
7,122430,72,0.0008803785627819963,-149904#0,150065
7,115624,32,0.0003912793612364428,149024#0,149024#0
7,115609,152,0.0018585769658731033,149006,149006
7,122519,158,0.0019319418461049363,149019#8,149520#2
7,125757,154,0.001883031925950381,149350#1,149498
7,114945,443,0.005416773657117005,-149019#4,-149019#4
7,114941,351,0.004291845493562232,149019#5,149019#5
7,115640,508,0.006211559859628529,-149000#0,-149000#0
7,119348,163,0.0019930792462981304,-149904#0,-149904#0
7,119491,95,0.0011616106036706896,-149354#1,-149354#1
7,114946,164,0.002005306726336769,-149350#4,-149350#4
7,126703,15,0.00018341220057958255,149793#3,149793#3
7,119364,152,0.0018585769658731033,-149354#3,150022#0
7,115635,238,0.002910140249196043,-149015,-149015
7,127201,7,8.559236027047186e-05,149354#3,149354#3
7,115257,487,0.005954782778817114,-149019#4,-149019#4
7,119496,88,0.0010760182434002177,149354#1,149354#1
7,115631,92,0.0011249281635547729,149354#4,149514
7,115684,556,0.006798478901483193,-149350#4,-149350#4
7,122440,210,0.002567770808114156,149354#3,149354#3
7,114944,1631,0.019943019943019943,149021,149021
7,115655,58,0.0007091938422410525,-149023,-149023
7,122425,298,0.003643789051514373,-149904#0,-149904#0
7,122427,91,0.0011127006835161342,-149793#3,150065
7,119554,97,0.0011860655637479672,149350#4,149350#4
7,115637,191,0.002335448687380018,-149028#0,-149028#0
7,115620,363,0.004438575254025898,149354#4,149354#4
7,119514,32,0.0003912793612364428,149350#2,149512#0
7,115664,163,0.0019930792462981304,149019#4,149019#4
7,125187,5,6.113740019319418e-05,-149904#0,150065
7,114940,503,0.006150422459435335,149019#1,149019#1
7,115608,561,0.006859616301676388,-148995#2,-148995#2
7,115611,263,0.003215827250162014,149354#4,149354#4
7,115596,249,0.0030446425296210703,-149006,-149006
7,119369,148,0.001809667045718548,-149793#0,-149793#0
7,122495,75,0.0009170610028979128,-149354#1,-149354#1
7,114937,474,0.005795825538314809,-149028#0,-149028#0
7,115621,330,0.004035068412750816,149024#0,149024#0
7,115636,336,0.004108433292982649,148995#4,148995#4
7,114540,62,0.0007581037623956079,-149019#7,-149019#7
7,115671,165,0.002017534206375408,-148926#0,-148926#0
7,127203,5,6.113740019319418e-05,149793#3,149793#3
7,114938,4502,0.055048115133952046,148869#1,148869#1
7,115598,6452,0.07889170120929778,148997,148997
7,115616,1498,0.018316765097880976,149000#0,149000#0
7,119361,124,0.0015162075247912158,-149354#3,150022#0
7,119362,84,0.0010271083232456623,149354#3,149354#3
7,115251,193,0.0023599036474572957,149793#5,149793#5
7,122442,79,0.0009659709230524681,149793#1,149924#1
7,115677,213,0.0026044532482300724,-148926#1,-148926#1
7,125189,27,0.0003301419610432486,-149904#0,150065
7,115610,212,0.0025922257681914333,-149003#1,-149003#1
7,115617,109,0.0013327953242116331,149354#3,149354#3
7,115690,869,0.01062568015357715,-148767#0,149520#1
7,115689,219,0.0026778181284619054,149018#1,149018#1
7,125190,19,0.0002323221207341379,-149904#0,-149904#0
7,115618,500,0.006113740019319419,148948#2,148948#2
7,115657,415,0.005074404216035117,-149018#2,-149018#2
7,115692,178,0.002176491446877713,149019#7,149019#7
7,119531,74,0.000904833522859274,149350#3,149511#0
7,114933,633,0.007739994864458383,-149026,-149026
7,115254,69,0.0008436961226660798,149019#2,149019#2
7,125727,153,0.001870804445911742,-149904#0,-149904#0
7,114703,106,0.0012961128840957166,-148767#0,-148767#0
7,125724,8,9.78198403091107e-05,-149904#0,-149904#0
7,115602,1040,0.01271657924018439,-149002,-149002
7,115630,123,0.001503980044752577,-148995#3,-148995#3
7,122435,54,0.0006602839220864972,149354#3,149354#3
7,119339,105,0.001283885404057078,-149354#3,150022#0
7,119366,93,0.0011371556435934118,-149354#3,149924#0
7,122510,53,0.0006480564420478583,-149354#1,149498
7,115672,665,0.008131274225694827,148926#0,148926#0
7,122431,78,0.0009537434430138292,-149793#1,-149793#1
7,122422,91,0.0011127006835161342,-149354#2,150022#0
7,119370,159,0.001944169326143575,149978#0,150065
7,115613,144,0.0017607571255639925,149354#4,149354#4
7,115661,703,0.008595918467163103,-149350#2,-149350#2
7,122428,88,0.0010760182434002177,-149904#0,-149904#0
7,115612,140,0.0017118472054094371,-149006,-149006
7,115654,376,0.004597532494528203,149018#2,149018#2
7,119371,41,0.0005013266815841923,-149793#2,150065
7,125188,10,0.00012227480038638837,-149904#0,150065
7,115255,199,0.0024332685276891287,-148926#1,-148926#1
7,114528,343,0.004194025653253121,-148995#3,-148995#3
7,115647,369,0.004511940134257731,-149015,-149015
7,115674,175,0.0021398090067617963,-148926#0,-148926#0
7,119344,763,0.009329567269481432,149793#4,149793#4
7,119360,114,0.0013939327244048274,-149793#3,-149793#3
7,115627,235,0.0028734578090801265,-148995#3,-148995#3
7,122498,195,0.002384358607534573,149354#2,149354#2
7,115648,350,0.004279618013523593,148867#1,148867#1
7,115645,585,0.00715307582260372,149015,149015
7,118590,29,0.00035459692112052625,149978#0,149978#0
7,125197,4,4.890992015455535e-05,149793#0,149924#2
7,114798,975,0.011921793037672867,149350#3,149350#3
7,115078,877,0.01072349999388626,149904#0,149904#0
7,115675,243,0.0029712776493892373,-148926#0,-148926#0
7,125731,17,0.00020786716065686022,-149354#3,-149354#3
7,115694,452,0.005526820977464754,149018#1,149018#1
7,114948,654,0.0079967719452698,149020,149020
7,115644,1081,0.013217905921768582,149028#2,149028#2
7,127202,15,0.00018341220057958255,-149354#3,149924#0
7,126710,15,0.00018341220057958255,-149904#0,-149904#0
7,115688,2154,0.026337992003228054,149019#8,149019#8
7,125726,400,0.004890992015455535,-149793#4,150065
7,122423,70,0.0008559236027047186,-149904#0,-149904#0
7,122506,33,0.00040350684127508164,149350#2,149511#0
7,119484,82,0.0010026533631683845,149350#0,149498
7,115643,127,0.0015528899649071323,149350#0,149350#0
7,126724,5,6.113740019319418e-05,149350#0,149498
7,115670,858,0.010491177873152123,-148767#0,-148767#0
7,115653,185,0.002262083807148185,-148995#4,-148995#4
7,119516,170,0.0020786716065686025,149350#2,149511#0
7,115683,926,0.011322646515779564,-149350#4,-149350#4
7,114943,175,0.0021398090067617963,149019#8,149019#8
7,127648,145,0.0017729846056026314,148948#2,148948#2
7,119515,62,0.0007581037623956079,149350#2,149511#0
7,115603,396,0.004842082095300979,148995#0,148995#0
7,119342,143,0.0017485296455253536,-149904#0,-149904#0
7,119375,163,0.0019930792462981304,149354#2,149354#2
7,122513,74,0.000904833522859274,149350#3,149511#0
7,125729,18,0.00022009464069549907,-149354#3,-149354#3
7,119511,126,0.0015406624848684934,149350#2,149511#0
7,126706,12,0.00014672976046366603,149793#5,149793#5
7,115626,1441,0.017619798735678566,149024#0,149024#0
7,115249,469,0.005734688138121615,-149003#2,-149003#2
7,119363,128,0.0015651174449457712,149793#0,149924#2
7,115622,97,0.0011860655637479672,149354#3,149354#3
7,119500,52,0.0006358289620092195,149350#0,149498
7,126725,29,0.00035459692112052625,149350#2,149350#2
7,115665,655,0.008008999425308439,149018#1,149018#1
7,119365,18,0.00022009464069549907,-149354#3,-149354#3
7,119373,109,0.0013327953242116331,-149793#3,150065
7,114939,69,0.0008436961226660798,-149020,-149020
7,122438,146,0.0017852120856412701,-149793#3,-149793#3
7,125758,5,6.113740019319418e-05,-149354#2,150022#1
7,122502,41,0.0005013266815841923,149350#0,149498
7,115600,984,0.012031840358020615,149893#7,149893#7
7,119507,136,0.0016629372852548817,149350#1,149498
7,125756,92,0.0011249281635547729,-149354#2,-149354#2
7,114922,545,0.006663976621058166,-148995#0,-148995#0
7,115597,465,0.005685778217967059,148995#2,148995#2
7,115252,92,0.0011249281635547729,-148995#3,-148995#3
7,122436,89,0.0010882457234388564,-149354#3,-149354#3
7,125730,61,0.0007458762823569691,-149354#3,-149354#3
7,115662,247,0.003020187569543793,-149019#2,-149019#2
7,115663,891,0.010894684714427203,149020,149020
7,125761,27,0.0003301419610432486,-149354#2,150022#1
7,115685,1424,0.017411931575021702,-149019#8,-149019#8
7,119482,307,0.003753836371862123,149350#0,149498
7,122504,203,0.002482178447843684,-149354#2,149498
7,119345,67,0.0008192411625888021,-149904#0,150065
7,115182,3782,0.04624432950613208,149350#4,149350#4
7,115605,335,0.00409620581294401,148995#2,148995#2
7,115650,869,0.01062568015357715,-148995#4,-148995#4
7,119337,8,9.78198403091107e-05,149354#2,149354#2
7,115623,204,0.002494405927882323,148995#3,148995#3
7,119494,147,0.001797439565679909,149350#0,149498
7,115652,219,0.0026778181284619054,148995#4,148995#4
7,125760,2,2.4454960077277675e-05,-149354#2,150022#0
7,119380,70,0.0008559236027047186,149793#2,149924#1
7,122508,114,0.0013939327244048274,-149354#1,149498
7,114929,1123,0.013731460083391414,148995#3,148995#3
7,115253,217,0.0026533631683846276,-149019#4,-149019#4
7,115633,337,0.004120660773021288,149015,149015
7,119353,79,0.0009659709230524681,149793#3,149793#3
7,115614,88,0.0010760182434002177,149006,149006
7,115595,1311,0.016030226330655515,148947#7,148947#7
7,119343,133,0.0016262548451389653,-149904#0,-149904#0
7,115659,187,0.0022865387672254627,-148866,-148866
7,115599,189,0.00231099372730274,-149003#1,-149003#1
7,114925,319,0.003900566132325789,-149006,-149006
7,115632,92,0.0011249281635547729,149023,149023
7,122507,63,0.0007703312424342467,-149354#2,150022#1
7,115634,44,0.0005380091217001089,148866,148866
7,115606,91,0.0011127006835161342,149006,149006
7,126707,33,0.00040350684127508164,-149793#1,-149793#1
7,115638,348,0.004255163053446315,-149000#0,148910
7,115629,110,0.001345022804250272,149006,149006
7,115695,422,0.005159996576305589,149018#1,149018#1
7,125725,56,0.0006847388821637749,-149904#0,-149904#0
7,115628,314,0.0038394287321325948,148995#3,148995#3
7,114930,692,0.008461416186738076,-149000#1,150004
7,125728,58,0.0007091938422410525,-149793#4,150065
7,114942,1228,0.015015345487448492,149019#0,149019#0
7,118592,86,0.00105156328332294,-149793#2,-149793#2
7,115248,166,0.002029761686414047,149006,149006
7,115676,177,0.002164263966839074,148926#1,148926#1
7,119352,280,0.0034236944108188743,149793#3,149793#3
7,126705,11,0.00013450228042502721,149793#3,149793#3
7,115601,187,0.0022865387672254627,-148995#2,-148995#2
7,125196,10,0.00012227480038638837,-149354#3,-149354#3
