TAZ,Poly,Area,Weight,GenEdge,PedEdge
10,116029,509,0.003638027031470006,-149311#1,-149311#1
10,116121,5080,0.03630879630622324,149311#2,149311#2
10,115493,129,0.0009220147093509445,148711,149708#0
10,114668,699,0.004996033192529537,-149285,149713
10,115512,94,0.0006718556796820836,-148576#1,-148576#1
10,115466,975,0.006968715826489697,149288#0,149288#0
10,116038,3249,0.023221905354117976,-149972#0,-149972#0
10,114855,3736,0.026702689566938984,149288#0,149288#0
10,115489,1136,0.008119447362966457,149972#3,149972#3
10,115467,635,0.004538599538277905,148871#2,148871#2
10,114539,403,0.0028804025416157416,148811#1,149588
10,115511,161,0.0011507315364767603,148711,149708#0
10,116131,522,0.0037309432424898685,148809#2,148809#2
10,115520,4369,0.031226994303521525,-149286#1,-149286#1
10,114560,28368,0.2027574672470356,149299#1,149299#1
10,115473,74,0.0005289076627284488,149288#0,149288#0
10,115481,2239,0.016003030497959418,148864,148864
10,116140,1385,0.00989915017403921,-149299#0,-149299#0
10,115472,131,0.000936309511046308,150051,150051
10,116035,446,0.003187740778066056,-148813,-148813
10,116043,958,0.006847210012079107,-148813,-148813
10,114821,64,0.00045743365425163137,149288#1,-149288#1
10,114670,235,0.001679639199205209,-149285,-149285
10,116039,99,0.0007075926839204923,148816,148816
10,114826,111,0.0007933614940926732,150051,150051
10,114672,70,0.0005003180593377218,149311#2,149717
10,115496,104,0.000743329688158901,-148576#0,149708#1
10,114881,1947,0.013915989450436348,149286#1,149286#1
10,115468,1402,0.010020655988449801,-148811#1,148922#0
10,115044,433,0.0030948245670461938,-149889#0,-149889#0
10,115521,129,0.0009220147093509445,-148576#0,149640#1
10,114666,671,0.004795905968794448,150052,150052
10,116123,767,0.005482056450171895,149972#1,149723
10,114665,3350,0.02394379283973383,150052,150052
10,114669,365,0.0026088013094038355,149270,149717
10,114827,110,0.0007862140932449915,148710#0,149714#1
10,115517,4494,0.032120419409481744,148576#0,148576#0
10,115516,2348,0.016782097190356726,-148711,149707
10,115494,39,0.0002787486330595879,-148576#1,-148576#1
10,114673,140,0.0010006361186754437,149287#4,149287#4
10,115478,1049,0.007497623489218146,-148811#0,-148811#0
10,115450,2460,0.017582606085297083,149288#1,149288#1
10,116178,4336,0.03099113007554803,149296#0,149661#0
10,115510,2825,0.020191407394700916,148808,149708#0
10,114854,821,0.005868016095946709,-148811#2,-148811#2
10,116125,1313,0.009384537313006125,149387,149387
10,115492,931,0.0066542301891917,-149285,-149285
10,115509,57,0.0004074018483178592,-148576#0,149708#1
10,115495,68,0.0004860232576423584,148811#2,148811#2
10,116127,1815,0.012972532538542358,-149972#2,-149972#2
10,114671,156,0.0011149945322383515,-149285,-149285
10,116040,171,0.0012222055449535776,-148813,-148813
10,115485,164,0.0011721737390198055,149288#0,149288#0
10,116139,793,0.00566788887221162,-149299#0,-149299#0
10,115214,42,0.0003001908356026331,148710#0,149714#0
10,115490,1617,0.011557347170701374,149972#3,149972#3
10,115045,1123,0.008026531151946594,148683,149351#2
10,115477,541,0.003866743858595822,149285,149285
10,115469,511,0.003652321833165369,-148811#0,-148811#0
10,115475,835,0.005968079707814254,149285,149285
10,114667,239,0.001708228802595936,-148712,149717
10,115482,942,0.0067328515985162,149288#0,149288#0
10,115474,2043,0.014602139931813796,149972#3,149972#3
10,116179,3462,0.024744301734674186,149296#0,149296#0
10,114822,60,0.0004288440508609044,149288#1,-149288#1
10,114556,1413,0.0100992773977743,149396,149396
10,114675,285,0.002037009241589296,148810#0,148810#0
10,115508,168,0.0012007633424105323,-148576#0,-148576#0
10,115465,2974,0.021256370121005497,148864,149661#0
10,114870,1407,0.010056392992688208,-149972#0,-149972#0
10,115471,1225,0.008755566038410132,-148864,-148864
10,116130,623,0.004452830728105725,148809#2,148809#2
10,115449,12308,0.08797020963326686,-148811#3,149712#2
10,115464,4623,0.03304243411883269,-148864,-148864
10,116124,756,0.005403435040847396,-149971,149627
10,115436,700,0.005003180593377218,148710#0,148573#2
10,115507,2039,0.01457355032842307,148576#1,148576#1
10,115476,60,0.0004288440508609044,150053,149714#1
10,115513,4776,0.03413598644852799,-149971,-149971
10,115515,3194,0.022828798307495478,-149299#1,-149299#1
10,115486,1129,0.008069415557032686,149291,149713
10,115505,721,0.005153276011178535,148808,149638#5
10,114674,960,0.006861504813774471,149271,149638#4
