TAZ,Poly,Area,Weight,GenEdge,PedEdge
8,114832,425,0.004153879234513361,148684,148876#1
8,115206,917,0.008962605313055887,-149191,-149191
8,115385,1477,0.01443595206912055,149686#2,149686#2
8,115296,1329,0.012989424712160604,149380,-149380
8,115382,195,0.0019058975311296597,149209#1,149209#1
8,115412,1543,0.015081025079656743,149215,149215
8,114529,481,0.004701213910119827,149359,149359
8,115410,302,0.002951697714877729,149400#0,149400#0
8,114837,1546,0.01511034658013566,148722,149208#1
8,114835,2063,0.020163418496002502,148731#4,-149400#2
8,114839,86,0.0008405496803956448,149229#4,149229#4
8,115387,787,0.007692006958969447,-149218#0,-149218#0
8,115303,433,0.004232069902457142,149196#0,149196#0
8,115189,352,0.00344038938952636,149179#0,149179#0
8,115397,2443,0.023877475223332095,149373#7,149373#7
8,115470,434,0.004241843735950115,148550#5,149694#0
8,115208,336,0.0032840080536387984,149244#1,149244#1
8,115346,2804,0.02740582911429521,148710#1,-149380
8,115417,275,0.0026878042105674686,149233,149233
8,115487,120,0.0011728600191567137,149400#2,149400#2
8,115398,728,0.007115350782884063,149222,149222
8,115408,260,0.0025411967081728796,-149962#1,-149962#1
8,115216,136,0.0013292413550442755,-148799#0,-148799#0
8,114825,159,0.0015540395253826455,149373#2,149373#2
8,115289,360,0.003518580057470141,148835#1,148835#1
8,114842,153,0.00149539652442481,149229#4,149229#4
8,115231,807,0.0078874836288289,148799#0,148799#0
8,115314,1567,0.015315597083488086,-148547,-149380
8,115329,944,0.009226498817366147,-148799#3,149687#4
8,115384,1180,0.011533123521707685,149238#0,149238#0
8,115319,1172,0.011454932853763903,149233,149233
8,114843,123,0.0012021815196356315,149229#5,149229#5
8,115338,201,0.0019645405320874955,149233,-149373#0
8,114838,705,0.006890552612545692,148684,148876#1
8,115287,136,0.0013292413550442755,-148876#1,-148876#1
8,115345,914,0.00893328381257697,-148799#2,-148799#2
8,115371,1333,0.013028520046132494,-149205#1,-149205#1
8,115390,1997,0.01951834548546631,149221,149221
8,115426,185,0.0018081591961999336,-148876#1,-148876#1
8,115491,130,0.0012705983540864398,148709,149239
8,115416,205,0.002003635866059386,-149196#0,-149196#0
8,115427,339,0.003313329554117716,148836,149233
8,114836,865,0.008454365971421312,149208#1,149208#1
8,115364,625,0.006108645933107884,149229#4,-149229#4
8,115300,279,0.0027268995445393594,-149202#0,-149202#0
8,115292,825,0.008063412631702406,148704,-149175
8,114828,94,0.0009187403483394257,148552,148550#0
8,115326,2137,0.020886682174482477,149229#3,-149229#3
8,115312,1199,0.011718826358074164,148799#3,148799#3
8,115389,589,0.00575678792736087,148836,149233
8,114834,332,0.0032449127196669076,148876#0,148876#0
8,114718,122,0.001192407686142659,-149966,-149966
8,114840,129,0.0012608245205934672,149229#5,149229#5
8,115383,78,0.0007623590124518639,-149245#1,-149245#1
8,115409,671,0.006558242273784624,-149205#0,-149205#0
8,114830,466,0.004554606407725238,148718,148718
8,115407,395,0.0038606642297241826,-149222,-149222
8,114719,238,0.0023261723713274823,-148793,-148793
8,115431,963,0.009412201653732627,149179#1,149688
8,115333,540,0.005277870086205211,-149200#1,-149200#1
8,114714,386,0.003772699728287429,149233,149233
8,114833,2165,0.02116034951228571,148722,-149208#1
8,115337,81,0.0007916805129307817,149200#0,149200#0
8,115395,1713,0.016742576773462088,-149238#0,-149238#0
8,115414,236,0.0023066247043415367,149373#1,149373#1
8,115313,3361,0.03284985436988096,-149686#0,-149686#0
8,114831,664,0.006489825439333815,148836,148876#0
8,115483,225,0.002199112535918838,149234#0,149234#0
8,116380,207,0.002023183533045331,-149230#3,-149230#3
8,115430,195,0.0019058975311296597,-148876#1,-148876#1
8,115228,746,0.00729127978575757,149244#0,149244#0
8,115365,150,0.001466075023945892,149233,-149373#0
8,115363,84,0.0008210020134096996,149200#1,149200#1
8,115213,760,0.007428113454659186,-149181,-149181
8,115373,2310,0.02257755536876674,149218#0,149218#0
8,115399,327,0.0031960435522020445,-149205#0,-149205#0
8,115394,913,0.008923509979083996,149197#0,149197#0
8,115288,725,0.007086029282405145,-149218#0,149684
8,115291,305,0.002981019215356647,148835#1,148835#1
8,115318,1303,0.012735305041343317,-149352#0,-149352#0
8,115212,67,0.0006548468440291651,149202#0,149202#0
8,115419,398,0.0038899857302031,148836,149233
8,114829,2201,0.021512207518032723,148721,-149400#2
8,115336,744,0.007271732118771625,-148799#0,-148799#0
8,115218,157,0.0015344918583967003,149202#0,149202#0
8,115406,187,0.0018277068631858788,-149234#0,-149234#0
8,115362,173,0.0016908731942842621,149233,-149373#0
8,115321,790,0.007721328459448365,149229#5,-148553
8,115429,625,0.006108645933107884,-149244#2,-149244#2
8,114558,162,0.0015833610258615635,148799#0,148799#0
8,114841,166,0.0016224563598334538,149229#5,149229#5
8,115374,202,0.001974314365580468,-148876#1,-148876#1
8,115349,323,0.003156948218230154,149380,-149380
8,115332,482,0.0047109877436128,149229#5,-148553
8,114844,117,0.0011435385186777957,-148835#0,-148835#0
8,115369,1972,0.019273999648141995,149373#7,149688
8,115413,121,0.0011826338526496863,149373#2,149373#2
8,115415,742,0.007252184451785679,149244#1,149244#1
8,115330,1130,0.011044431847059053,-149224,-149224
8,115217,928,0.009070117481478585,149224,149224
8,115315,1834,0.017925210626111774,-149223#0,-149223#0
8,115355,1408,0.01376155755810544,149686#0,149686#0
8,115311,2530,0.024727798737220714,149231#1,-149231#1
8,115187,435,0.004251617569443087,-149196#0,-149196#0
8,115184,212,0.002072052700510194,148799#0,148799#0
8,115396,3915,0.03826455812498778,-149179#0,-149179#0
8,115344,206,0.0020134096995523586,149231#2,-149231#2
8,116368,7888,0.07709599859256798,-149190,-149190
8,115347,637,0.006225931935023555,149380,-149380
8,115211,353,0.0034501632230193326,-149244#1,-149244#1
8,115324,216,0.0021111480344820845,-149200#0,-149200#0
8,115401,184,0.0017983853627069608,149373#3,149373#3
8,115422,963,0.009412201653732627,149238#1,149238#1
8,115388,775,0.007574720957053776,149233,-149373#0
8,115302,329,0.00321559121918799,149400#2,149400#2
8,114823,322,0.0031471743847371818,-148722,149208#1
8,115305,346,0.0033817463885685243,148835#1,148835#1
8,115323,1069,0.010448228003987724,149229#5,-148553
8,114711,348,0.0034012940555544695,-148796#0,-148796#0
8,115215,164,0.0016029086928475086,149380,-149380
8,114635,257,0.0025118752076939616,148793,148793
