TAZ,Poly,Area,Weight,GenEdge,PedEdge
6,118612,910,0.016346032943543316,-152459#0,-152459#0
6,118974,5130,0.09214851538502991,152534#6,152534#6
6,118341,581,0.010436313340877657,152534#2,152534#2
6,118306,69,0.0012394244759389988,-152607,-152607
6,118555,107,0.0019220060713836648,152480,152480
6,118216,82,0.001472939232275332,152534#4,152534#4
6,131015,145,0.0026045876668283306,152535#2,152535#2
6,119035,917,0.01647177165849365,152535#2,152535#2
6,118224,38,0.0006825815954446659,-152459#1,-152459#1
6,118983,1498,0.026908084999371307,152587#0,152587#0
6,118613,42,0.0007544322897019992,152460,152460
6,119008,2230,0.04005676204846329,152535#2,152535#2
6,119006,669,0.012017028614538988,152535#2,152535#2
6,118068,253,0.004544556411776329,152347#0,152347#0
6,118225,52,0.0009340590253453324,152347#1,152347#1
6,118015,96,0.0017244166621759984,-152480,-152480
6,118073,34,0.0006107309011873327,-152480,-152480
6,118227,463,0.008316717860286324,152347#0,152347#0
6,118576,146,0.002622550340392664,152534#4,152534#4
6,119186,137,0.002460886278313664,-152658#0,-152658#0
6,119181,1506,0.027051786387885975,152535#4,152535#4
6,119182,416,0.007472472202762659,152669#1,152669#1
6,118217,298,0.005352876722171328,152534#6,152534#6
6,119159,317,0.005694167519893661,-152671,-152671
6,119183,1349,0.024231646638285642,-152658#1,-152658#1
6,119187,66,0.0011855364552459987,152658#0,152658#0
6,118290,865,0.015537712633148317,152347#1,152347#1
6,118962,1311,0.023549065042840975,152534#7,152534#7
6,119184,306,0.0054965781106859945,-152658#0,-152658#0
6,119180,1825,0.0327818792549083,152535#6,152535#6
6,118617,96,0.0017244166621759984,152534#4,152534#4
6,118228,4811,0.08641842251800758,-152459#0,-152459#0
6,118074,175,0.00314346787375833,-152480,-152480
6,118985,500,0.008981336782166657,152535#2,152535#2
6,118340,9483,0.17034003341057283,152534#2,152534#2
6,119033,3289,0.05907923335309227,152535#4,152535#4
6,118295,6397,0.11490722279104022,152457#0,152457#0
6,118223,41,0.000736469616137666,152347#1,152347#1
6,118610,5922,0.10637495284798189,152347#0,152347#0
6,119034,487,0.008747822025830325,152535#2,152535#2
6,118637,91,0.0016346032943543318,152363#2,152363#2
6,118226,2434,0.04372114745558729,-152459#1,-152459#1
6,118069,87,0.0015627526000969985,152534#4,152534#4
