TAZ,Poly,Area,Weight,GenEdge,PedEdge
8,118688,790,0.007721328459448365,152811#5,-152135
8,118766,327,0.0031960435522020445,-152787#0,-152787#0
8,118554,435,0.004251617569443087,-152778#0,-152778#0
8,118769,143,0.0013976581894950837,152815,152815
8,118663,1329,0.012989424712160604,152962,-152962
8,118765,728,0.007115350782884063,152804,152804
8,118716,323,0.003156948218230154,152962,-152962
8,118585,157,0.0015344918583967003,152784#0,152784#0
8,118197,466,0.004554606407725238,152300,152300
8,118002,257,0.0025118752076939616,152375,152375
8,118575,336,0.0032840080536387984,152826#1,152826#1
8,118754,787,0.007692006958969447,-152800#0,-152800#0
8,117896,481,0.004701213910119827,152941,152941
8,118654,136,0.0013292413550442755,-152458#1,-152458#1
8,118782,742,0.007252184451785679,152826#1,152826#1
8,118755,775,0.007574720957053776,152815,-152955#0
8,118796,625,0.006108645933107884,-152826#2,-152826#2
8,118199,425,0.004153879234513361,152266,152458#1
8,118699,482,0.0047109877436128,152811#5,-152135
8,118783,205,0.002003635866059386,-152778#0,-152778#0
8,118764,2443,0.023877475223332095,152955#7,152955#7
8,118729,173,0.0016908731942842621,152815,-152955#0
8,118792,390,0.0038117950622593194,152418,152815
8,118086,238,0.0023261723713274823,-152375,-152375
8,118776,671,0.006558242273784624,-152787#0,-152787#0
8,118190,322,0.0031471743847371818,-152304,152790#1
8,118762,1713,0.016742576773462088,-152820#0,-152820#0
8,118858,130,0.0012705983540864398,152291,152821
8,118580,760,0.007428113454659186,-152763,-152763
8,118590,1109,0.010839181343706629,-153268#2,-153268#2
8,118205,705,0.006890552612545692,152266,152458#1
8,118210,123,0.0012021815196356315,152811#5,152811#5
8,118711,206,0.0020134096995523586,152813#2,-152813#2
8,118206,86,0.0008405496803956448,152811#4,152811#4
8,118670,433,0.004232069902457142,152778#0,152778#0
8,118655,725,0.007086029282405145,-152800#0,153266
8,118778,103,0.0010067048497761793,152982#2,152982#2
8,118774,395,0.0038606642297241826,-152804,-152804
8,118598,807,0.0078874836288289,152381#0,152381#0
8,118583,136,0.0013292413550442755,-152381#0,-152381#0
8,118794,339,0.003313329554117716,152418,152815
8,118784,275,0.0026878042105674686,152815,152815
8,118686,1172,0.011454932853763903,152815,152815
8,118781,236,0.0023066247043415367,152955#1,152955#1
8,118713,2804,0.02740582911429521,152292#1,-152962
8,118192,159,0.0015540395253826455,152955#2,152955#2
8,118722,1408,0.01376155755810544,153268#0,153268#0
8,118763,3915,0.03826455812498778,-152761#0,-152761#0
8,119747,207,0.002023183533045331,-152812#3,-152812#3
8,118730,84,0.0008210020134096996,152782#1,152782#1
8,118078,348,0.0034012940555544695,-152378#0,-152378#0
8,118759,939,0.009177629649901283,152955#3,-152955#3
8,118854,120,0.0011728600191567137,152982#2,152982#2
8,118779,1543,0.015081025079656743,152797,152797
8,118669,329,0.00321559121918799,152982#2,152982#2
8,118798,963,0.009412201653732627,152761#1,153270
8,118584,928,0.009070117481478585,152806,152806
8,118693,2137,0.020886682174482477,152811#3,-152811#3
8,118200,2165,0.02116034951228571,152304,-152790#1
8,118195,94,0.0009187403483394257,152134,152132#0
8,118704,81,0.0007916805129307817,152782#0,152782#0
8,118551,212,0.002072052700510194,152381#0,152381#0
8,118703,744,0.007271732118771625,-152381#0,-152381#0
8,118751,1180,0.011533123521707685,152820#0,152820#0
8,118750,78,0.0007623590124518639,-152827#1,-152827#1
8,118203,865,0.008454365971421312,152790#1,152790#1
8,118679,1199,0.011718826358074164,152381#3,152381#3
8,118672,346,0.0033817463885685243,152417#1,152417#1
8,118700,540,0.005277870086205211,-152782#1,-152782#1
8,118691,216,0.0021111480344820845,-152782#0,-152782#0
8,118659,825,0.008063412631702406,152286,-152757
8,118582,164,0.0016029086928475086,152962,-152962
8,118681,1567,0.015315597083488086,-152129,-152962
8,118727,832,0.008131829466153215,153268#0,153269#3
8,118757,1997,0.01951834548546631,152803,152803
8,118204,1546,0.01511034658013566,152304,152790#1
8,118741,202,0.001974314365580468,-152458#1,-152458#1
8,118196,2201,0.021512207518032723,152303,-152982#2
8,118085,122,0.001192407686142659,-153548,-153548
8,118738,1333,0.013028520046132494,-152787#1,-152787#1
8,118588,276,0.0026975780440604414,152982#2,152982#2
8,117925,162,0.0015833610258615635,152381#0,152381#0
8,118742,1308,0.012784174208808178,-152761#0,-152761#0
8,118208,166,0.0016224563598334538,152811#5,152811#5
8,118595,746,0.00729127978575757,152826#0,152826#0
8,118714,637,0.006225931935023555,152962,-152962
8,118578,353,0.0034501632230193326,-152826#1,-152826#1
8,118656,360,0.003518580057470141,152417#1,152417#1
8,118732,150,0.001466075023945892,152815,-152955#0
8,119735,7888,0.07709599859256798,-152772,-152772
8,118705,201,0.0019645405320874955,152815,-152955#0
8,118850,225,0.002199112535918838,152816#0,152816#0
8,118696,944,0.009226498817366147,-152381#3,153269#4
8,118793,185,0.0018081591961999336,-152458#1,-152458#1
8,118736,1972,0.019273999648141995,152955#7,153270
8,118202,2063,0.020163418496002502,152313#4,-152982#2
8,118685,1303,0.012735305041343317,-152934#0,-152934#0
8,118789,963,0.009412201653732627,152820#1,152820#1
8,118209,153,0.00149539652442481,152811#4,152811#4
8,118211,117,0.0011435385186777957,-152417#0,-152417#0
8,118768,184,0.0017983853627069608,152955#3,152955#3
8,118777,302,0.002951697714877729,152982#0,152982#0
8,118702,247,0.0024141368727642358,-152381#0,-152381#0
8,118773,187,0.0018277068631858788,-152816#0,-152816#0
8,118207,129,0.0012608245205934672,152811#5,152811#5
8,118690,1069,0.010448228003987724,152811#5,-152135
8,118752,1477,0.01443595206912055,153268#2,153268#2
8,118701,231,0.002257755536876674,152811#4,-152811#4
8,118556,352,0.00344038938952636,152761#0,152761#0
8,118573,917,0.008962605313055887,-152773,-152773
8,118749,195,0.0019058975311296597,152791#1,152791#1
8,118697,1130,0.011044431847059053,-152806,-152806
8,118081,386,0.003772699728287429,152815,152815
8,118680,3361,0.03284985436988096,-153268#0,-153268#0
8,118629,155,0.0015149441914107551,152826#2,152826#2
8,118715,427,0.004173426901499306,152815,-152955#0
8,118678,2530,0.024727798737220714,152813#1,-152813#1
8,118740,2310,0.02257755536876674,152800#0,152800#0
8,118788,75,0.000733037511972946,152821,152821
8,118728,107,0.0010458001837480697,152291,152821
8,118579,67,0.0006548468440291651,152784#0,152784#0
8,118658,305,0.002981019215356647,152417#1,152417#1
8,118721,409,0.003997497898625799,-152381#0,-152381#0
8,118837,434,0.004241843735950115,152132#5,153276#0
8,118731,625,0.006108645933107884,152811#4,-152811#4
8,118797,195,0.0019058975311296597,-152458#1,-152458#1
8,118780,121,0.0011826338526496863,152955#2,152955#2
8,118761,913,0.008923509979083996,152779#0,152779#0
8,118786,398,0.0038899857302031,152418,152815
8,118198,664,0.006489825439333815,152418,152458#0
8,118667,279,0.0027268995445393594,-152784#0,-152784#0
8,118775,260,0.0025411967081728796,-153544#1,-153544#1
8,118682,1834,0.017925210626111774,-152805#0,-152805#0
8,118201,332,0.0032449127196669076,152458#0,152458#0
8,118756,589,0.00575678792736087,152418,152815
8,118712,914,0.00893328381257697,-152381#2,-152381#2
