TAZ,Poly,Area,Weight,GenEdge,PedEdge
11,124328,104,0.00029085864829036644,-153000,-153000
11,124486,94,0.00026289147057013886,152377,152377
11,126456,43,0.00012025886419697842,153394#0,153394#0
11,126600,67,0.00018738009072552452,-152842,-152842
11,126427,22,6.152779098450059e-05,153390#1,153390#1
11,129425,19,5.313763766843233e-05,152892#1,152892#1
11,130274,14,3.915404880831856e-05,-152846,-152846
11,124180,63,0.0001761932196374335,-153433#0,-153433#0
11,124391,81,0.00022653413953384308,152841#1,152841#1
11,126210,6,1.6780306632136524e-05,153030,153030
11,124190,34,9.508840424877364e-05,152930,152930
11,126726,54,0.0001510227596892287,153052,153052
11,124506,103,0.0002880619305183437,-153456#2,-153456#2
11,122174,65,0.00018178665518147903,152822,152822
11,130561,5,1.398358886011377e-05,-153490#4,-153490#4
11,124291,78,0.00021814398621777483,-152839,-152839
11,125267,144,0.00040272735917127656,-152841#0,-152841#0
11,129053,10,2.796717772022754e-05,152476,152476
11,122633,19,5.313763766843233e-05,152447,152447
11,118172,14,3.915404880831856e-05,-152626#1,-152626#1
11,124123,95,0.0002656881883421616,152738,152738
11,126023,235,0.0006572286764253472,-153420#0,-153420#0
11,124458,50,0.0001398358886011377,153451#1,153451#1
11,127172,27,7.551137984461436e-05,152903,152903
11,124118,35,9.78851220207964e-05,-153482#1,-153482#1
11,126335,674,0.0018849877783433363,-153417,-153417
11,127196,153,0.0004278978191194814,-153456#6,-153456#6
11,122660,101,0.00028246849497429817,-152574#0,-152574#0
11,126240,98,0.0002740783416582299,153421#2,153421#2
11,130044,29,8.110481538865987e-05,-152732,-152732
11,125717,78,0.00021814398621777483,152977,152977
11,124281,111,0.0003104356726945257,-152908#2,-152908#2
11,125312,31,8.669825093270538e-05,-153007#5,-153007#5
11,129536,8,2.2373742176182034e-05,153641,153641
11,130824,23,6.432450875652335e-05,152854#1,152854#1
11,124254,109,0.0003048422371504802,153451#7,153451#7
11,122505,231,0.0006460418053372562,153424#1,153424#1
11,124157,93,0.00026009475279811616,-152446,-152446
11,126000,53,0.00014822604191720598,153490#7,153490#7
11,122648,153,0.0004278978191194814,-152358,-152358
11,124680,90,0.0002517045994820479,-152837,-152837
11,124392,90,0.0002517045994820479,152841#1,152841#1
11,117983,350,0.0009788512202079638,153631,152324
11,125115,170,0.0004754420212438682,-153458#1,-153458#1
11,126077,88,0.00024611116393800236,-153387#6,-153387#6
11,126510,81,0.00022653413953384308,153427#6,153427#6
11,124590,61,0.000170599784093388,-152931#3,-152931#3
11,118345,1564,0.004374066595443587,153410#0,153256
11,129345,15,4.195076658034131e-05,-153489#2,-153489#2
11,123594,4,1.1186871088091017e-05,152733,152733
11,130668,17,4.754420212438682e-05,152841#1,152841#1
11,122583,72,0.00020136367958563828,-153424#1,-153424#1
11,122529,57,0.000159412913005297,-152643,-152643
11,124399,239,0.0006684155475134382,152721,152721
11,118904,32,8.949496870472813e-05,153007#5,153007#5
11,123936,199,0.0005565468366325281,-152427,-152427
11,126429,35,9.78851220207964e-05,153390#1,153390#1
11,123046,162,0.00045306827906768616,153387#0,153387#0
11,126725,66,0.00018458337295350176,153052,153052
11,126753,134,0.00037476018145104903,152851#2,152851#2
11,123731,141,0.00039433720585520834,153423#2,153423#2
11,118021,396,0.0011075002377210106,-152847,-152847
11,119361,67,0.00018738009072552452,153070#1,153070#1
11,124245,79,0.00022094070398979756,152740,152740
11,129169,14,3.915404880831856e-05,-152634,-152634
11,122183,15,4.195076658034131e-05,153051,153051
11,124697,270,0.0007551137984461436,-153441#2,-153441#2
11,130549,12,3.356061326427305e-05,153393,153393
11,126489,162,0.00045306827906768616,152747,152747
11,124572,176,0.0004922223278760047,152981,152981
11,125125,12,3.356061326427305e-05,-153457,-153457
11,122549,127,0.0003551831570468898,-152624#1,-152624#1
11,123910,293,0.000819438307202667,153390#1,153390#1
11,124583,77,0.00021534726844575207,152931#4,152931#4
11,124138,14,3.915404880831856e-05,-152446,-152446
11,129530,6,1.6780306632136524e-05,-152847,-152847
11,118144,45,0.00012585229974102394,152405,152405
11,124260,95,0.0002656881883421616,-152908#6,-152908#6
11,125318,126,0.000352386439274867,152849,152849
11,126577,67,0.00018738009072552452,153482#1,153482#1
11,126278,73,0.00020416039735766104,-152731,152515
11,126523,123,0.00034399628595879875,153451#7,153451#7
11,122507,120,0.00033560613264273047,153327#2,153327#2
11,125747,46,0.0001286490175130467,-153391#0,-153391#0
11,126502,60,0.00016780306632136524,-153000,-153000
11,118627,43,0.00012025886419697842,152523#0,-153393
11,124044,29,8.110481538865987e-05,152734#1,152734#1
11,124244,74,0.0002069571151296838,152740,152740
11,126026,148,0.0004139142302593676,-152632,-152632
11,126419,372,0.0010403790111924646,-152449,-152449
11,122517,32,8.949496870472813e-05,153327#0,153327#0
11,124537,18,5.034091989640957e-05,-152981,-152981
11,126078,34,9.508840424877364e-05,153384#2,153384#2
11,123533,110,0.00030763895492250294,-153058#3,153536
11,124057,47,0.00013144573528506943,153434,153434
11,124524,8,2.2373742176182034e-05,-153433#0,-153433#0
11,125757,60,0.00016780306632136524,-152359,-152359
11,129350,17,4.754420212438682e-05,-153427#12,-153427#12
11,125278,41,0.00011466542865293292,-153050#0,-153050#0
11,130644,78,0.00021814398621777483,-153421#3,152501#0
11,126518,220,0.0006152779098450059,152446,152446
11,124507,132,0.0003691667459070035,-152848,-152848
11,123856,129,0.0003607765925909353,-153447,-153447
11,124147,115,0.00032162254378261673,152721,152721
11,118404,27,7.551137984461436e-05,153451#1,153451#1
11,129527,33,9.229168647675088e-05,-153458#1,-153458#1
11,126525,118,0.000330012697098685,152721,152721
11,124199,101,0.00028246849497429817,153451#7,153451#7
11,125994,397,0.0011102969554930334,-153420#1,-153420#1
11,126668,104,0.00029085864829036644,-152376,-152376
11,129393,1,2.796717772022754e-06,-153052,-153052
11,123569,158,0.00044188140797959513,153042#1,153523
11,123534,49,0.00013703917082911495,-153058#2,-153058#2
11,126717,90,0.0002517045994820479,-153456#0,-153456#0
11,126724,60,0.00016780306632136524,152851#0,152851#0
11,128420,252,0.000704772878549734,152413#3,152413#3
11,129421,29,8.110481538865987e-05,-153335#1,-153335#1
11,130121,19,5.313763766843233e-05,-153387#3,-153387#3
11,130480,10,2.796717772022754e-05,-152853,-152853
11,118548,332,0.0009285103003115544,152281,153335#1
11,125648,183,0.000511799352280164,152574#0,152574#0
11,118185,353,0.0009872413735240323,153629,-152750#8
11,124553,115,0.00032162254378261673,152484,152484
11,118256,84,0.00023492429284991136,153456#5,153456#5
11,118283,56,0.00015661619523327423,152533#0,152533#0
11,123945,132,0.0003691667459070035,-152756#0,-152756#0
11,129323,19,5.313763766843233e-05,152573,152573
11,119346,47,0.00013144573528506943,-153449#11,153234#1
11,119347,16,4.474748435236407e-05,152374#0,152374#0
11,124052,39,0.00010907199310888742,153426#1,153426#1
11,126431,103,0.0002880619305183437,153390#1,153390#1
11,126551,101,0.00028246849497429817,-153433#0,-153433#0
11,126610,155,0.0004334912546635269,153035,153035
11,118375,308,0.0008613890737830083,152427,152427
11,127173,11,3.0763895492250295e-05,-153458#1,-153458#1
11,126394,646,0.0018066796807266992,-153644,-153644
11,122574,146,0.0004083207947153221,153026,153026
11,123914,32,8.949496870472813e-05,153390#0,153390#0
11,118253,65,0.00018178665518147903,153338,152394
11,119357,37,0.0001034785575648419,152908#5,152908#5
11,119375,1243,0.0034763201906242835,152836#3,152836#3
11,122672,226,0.0006320582164771424,153490#5,153490#5
11,124082,41,0.00011466542865293292,-153430,-153430
11,124485,120,0.00033560613264273047,153435#2,153435#2
11,126576,127,0.0003551831570468898,-152908#6,-152908#6
11,122700,33,9.229168647675088e-05,152733,152733
11,129358,28,7.830809761663711e-05,-152842,-152842
11,124348,88,0.00024611116393800236,152841#1,152841#1
11,125643,67,0.00018738009072552452,-152641#0,-152641#0
11,118370,56,0.00015661619523327423,-153394#0,-153394#0
11,129306,2,5.593435544045508e-06,-153422,-153422
11,125634,77,0.00021534726844575207,153327#0,153327#0
11,126201,170,0.0004754420212438682,152725#0,152725#0
11,126282,61,0.000170599784093388,152733,152733
11,119352,39,0.00010907199310888742,152930,152930
11,126810,15,4.195076658034131e-05,153335#2,153335#2
11,125746,68,0.00019017680849754728,152977,152977
11,126768,106,0.00029645208383441196,152486,152486
11,129392,14,3.915404880831856e-05,152484,152484
11,126048,91,0.00025450131725407064,152450,153262#1
11,126323,188,0.0005257829411402777,-153040#0,-153040#0
11,128536,33,9.229168647675088e-05,-153456#4,-153456#4
11,131001,26,7.271466207259161e-05,153641,153641
11,130679,26,7.271466207259161e-05,-152979#0,-152979#0
11,123810,87,0.0002433144461659796,152730,152501#1
11,128957,10,2.796717772022754e-05,-152849,-152849
11,126575,27,7.551137984461436e-05,152929,152929
11,119314,19,5.313763766843233e-05,153420#2,153420#2
11,124208,168,0.0004698485856998227,-152908#6,-152908#6
11,129413,20,5.593435544045508e-05,152833#0,152833#0
11,127198,11,3.0763895492250295e-05,153636#1,153636#1
11,131005,15,4.195076658034131e-05,152752,152752
11,124165,169,0.0004726453034718454,153489#2,153489#2
11,125632,62,0.00017339650186541075,153327#2,153327#2
11,125113,38,0.00010627527533686466,-152903,-152903
11,125695,63,0.0001761932196374335,152624#1,152624#1
11,126743,226,0.0006320582164771424,152931#4,152931#4
11,124026,123,0.00034399628595879875,153429,153429
11,124378,96,0.0002684849061141844,-152841#0,-152841#0
11,122146,85,0.0002377210106219341,152842,152842
11,126592,88,0.00024611116393800236,-152844,-152844
11,125277,148,0.0004139142302593676,-153050#1,-153050#1
11,118892,243,0.0006796024186015293,-152843#0,-152843#0
11,125140,77,0.00021534726844575207,153641,153641
11,129237,17,4.754420212438682e-05,153423#3,153423#3
11,124694,98,0.0002740783416582299,153441#2,153441#2
11,118145,20,5.593435544045508e-05,152405,152405
11,123826,319,0.0008921529692752586,-152730,-152730
11,124033,6,1.6780306632136524e-05,153430,153430
11,126702,144,0.00040272735917127656,152931#4,152931#4
11,128637,18,5.034091989640957e-05,-152908#5,-152908#5
11,126006,136,0.00038035361699509455,-153490#6,-153490#6
11,126667,190,0.0005313763766843232,153456#2,153456#2
11,122599,36,0.00010068183979281914,-152732,-152732
11,123094,46,0.0001286490175130467,152626#2,152626#2
11,123720,65,0.00018178665518147903,-153058#2,-153058#2
11,128425,101,0.00028246849497429817,152413#3,152413#3
11,125146,55,0.00015381947746125147,-153456#5,-153456#5
11,125142,32,8.949496870472813e-05,-152903,-152903
11,124569,113,0.0003160291082385712,152981,152981
11,118395,200,0.0005593435544045508,-152483#0,-152483#0
11,129338,31,8.669825093270538e-05,-153482#1,-153482#1
11,124512,84,0.00023492429284991136,-152931#3,-152931#3
11,127193,136,0.00038035361699509455,153641,153641
11,124588,31,8.669825093270538e-05,-152851#2,-152851#2
11,130054,9,2.5170459948204785e-05,-153392#1,-153392#1
11,128954,6,1.6780306632136524e-05,-152849,-152849
11,122668,177,0.0004950190456480274,152723#0,152723#0
