TAZ,Poly,Area,Weight,GenEdge,PedEdge
3,119540,213,0.004251751601892329,152810#6,152810#6
3,118410,68,0.0013573667085853445,152965#0,152965#0
3,118792,390,0.007784897299239475,152419,-152787
3,119500,293,0.005848653611992734,152965#0,153148#2
3,119378,184,0.003672874623230932,-152965#0,-152965#0
3,118756,589,0.011757191049364233,152419,-152787
3,119381,254,0.005070163882068787,152965#0,152965#0
3,118424,581,0.011597500848354193,152826#1,152826#1
3,119516,226,0.004511248178533645,152866#1,152866#1
3,119297,575,0.011477733197596662,-152778,-152778
3,119264,344,0.006866678643431742,152787,152787
3,119451,200,0.003992255025251013,-152826#2,-152826#2
3,119541,150,0.00299419126893826,-152941#0,-152941#0
3,119380,203,0.004052138850629778,152787,152787
3,119530,417,0.008323851727648362,-152941#0,-152941#0
3,119461,184,0.003672874623230932,-152810#4,-152810#4
3,119463,421,0.008403696828153383,-152808#2,-152808#2
3,119454,140,0.002794578517675709,-152826#1,-152826#1
3,118775,260,0.005189931532826317,-153545#1,-153545#1
3,118795,100,0.0019961275126255066,152787,-152787
3,119523,131,0.0026149270415394134,152965#1,152965#1
3,119464,152,0.00303411381919077,152808#1,152808#1
3,118205,705,0.014072698964009821,152267,-152792#1
3,119272,124,0.002475198115655628,152965#0,152965#0
3,119532,435,0.008683154679920953,-152866#0,-152866#0
3,119300,173,0.0034533005968421264,-152810#10,-152810#10
3,129291,9,0.00017965147613629558,-152808#5,-152808#5
3,119517,374,0.007465516897219394,-152866#1,153156
3,118344,146,0.0029143461684332395,-152810#6,-152810#6
3,118760,126,0.002515120665908138,152965#2,152965#2
3,119459,204,0.0040721001257560336,-152826#2,-152826#2
3,118771,174,0.0034732618719683812,-152965#2,-152965#2
3,119279,436,0.008703115955047209,152810#10,152810#10
3,117910,408,0.008144200251512067,152809,152809
3,119538,171,0.003413378046589616,152965#1,152965#1
3,119450,859,0.0171467353334531,-152826#2,-152826#2
3,119255,132,0.0026348883166656687,153434,153434
3,118758,204,0.0040721001257560336,152792#0,153145
3,118080,339,0.006766872267800467,-152792#0,-152792#0
3,119465,167,0.003333532946084596,152810#4,153162
3,119386,429,0.008563387029163422,-153545#0,-153545#0
3,119275,100,0.0019961275126255066,-152810#10,-152810#10
3,119274,1205,0.024053336527137353,152810#10,152810#10
3,119449,745,0.014871149969060023,152810#4,152810#4
3,119294,502,0.010020560113380043,152823#1,152823#1
3,119240,386,0.0077050521987344555,152808#5,152808#5
3,118198,664,0.013254286683833364,152419,152459#0
3,119249,151,0.0030141525440645148,-152163,-152163
3,118749,195,0.0038924486496197375,152792#1,152792#1
3,119244,275,0.005489350659720143,152808#2,152808#2
3,118408,694,0.013853124937621015,-152965#0,-152965#0
3,119296,240,0.004790706030301216,152809,-152809
3,118786,398,0.007944587500249517,152419,152459#0
3,119534,170,0.003393416771463361,152965#2,152965#2
3,119527,160,0.0031938040202008104,-152866#1,-152866#1
3,119312,350,0.006986446294189273,152787,152787
3,119503,101,0.0020160887877517615,-152965#0,-152965#0
3,119446,87,0.0017366309359841906,152866#1,152866#1
3,119520,187,0.003732758448609697,152965#2,153156
3,119277,220,0.004391480527776114,-152797,153148#0
3,119295,156,0.00311395891969579,152810#8,152810#8
3,119379,196,0.003912409924745993,-152965#0,-152965#0
3,119278,209,0.004171906501387309,152941#1,152941#1
3,119271,364,0.007265904145956844,-152810#11,-152810#11
3,119254,197,0.003932371199872248,152810#6,152810#6
3,119250,124,0.002475198115655628,-152163,153581
3,119261,856,0.017086851508074336,-152810#10,-152810#10
3,119265,171,0.003413378046589616,152965#0,152965#0
3,119298,312,0.00622791783939158,-152797,-152797
3,119537,311,0.006207956564265325,152808#2,152808#2
3,118425,410,0.008184122801764577,-152808#1,-152808#1
3,119456,88,0.0017565922111104457,152808#2,153153
3,119280,220,0.004391480527776114,152939#1,152939#1
3,119526,915,0.018264566740523385,152866#0,152866#0
3,119389,206,0.004112022676008543,153442,153442
3,119260,409,0.008164161526638321,152939#0,152939#0
3,119466,117,0.0023354691897718425,-152810#5,-152810#5
3,119470,245,0.004890512405932491,153442,153442
3,119285,101,0.0020160887877517615,152809,-152809
3,119499,366,0.007305826696209354,152774,152774
3,119317,117,0.0023354691897718425,152939#0,152939#0
3,119457,198,0.003952332474998503,153439,153439
3,119283,358,0.007146136495199313,-152803,-152803
3,119542,119,0.0023753917400243527,-152778,-152778
3,119535,288,0.005748847236361459,-152866#1,153156
3,119388,294,0.005868614887118989,152965#0,153148#2
3,118409,607,0.012116494001636825,152787,153145
3,119377,207,0.004131983951134798,152965#0,152965#0
3,119453,202,0.004032177575503523,-152808#1,-152808#1
3,119311,141,0.0028145397928019643,-152163,-152163
3,119501,234,0.004670938379543685,152823#1,152823#1
3,119262,748,0.014931033794438789,152941#2,152941#2
3,119504,249,0.004970357506437512,152823#1,153148#2
3,119284,113,0.0022556240892668226,-152810#10,-152810#10
3,119443,136,0.002714733417170689,152866#1,153162
3,118767,164,0.0032736491207058308,152808#5,152808#5
3,119524,287,0.005728885961235204,152965#1,152965#1
3,119253,377,0.00752540072259816,-152810#8,-152810#8
3,119242,230,0.004591093279038665,-152941#2,-152941#2
3,119286,371,0.007405633071840629,152939#1,152939#1
3,119219,343,0.006846717368305487,152787,-152787
3,119270,307,0.006128111463760305,152939#0,152939#0
3,119529,738,0.014731421043176238,153548#3,153548#3
3,119259,253,0.005050202606942531,152939#1,152939#1
3,119263,298,0.005948459987624009,152939#1,152939#1
3,119241,190,0.0037926422739884623,152808#5,152808#5
3,118426,266,0.005309699183583847,152826#2,152826#2
3,118787,130,0.0025949657664131585,152787,-152787
3,118199,425,0.008483541928658403,152267,152459#0
3,119288,286,0.005708924686108949,-152803,-152803
3,119741,367,0.007325787971335609,152866#0,152866#0
3,118573,917,0.018304489290775893,-152774,-152774
3,118753,224,0.0044713256282811345,152787,-152787
3,119299,178,0.0035531069724734016,-152941#0,-152941#0
3,119460,69,0.0013773279837115994,-152826#2,-152826#2
3,119387,216,0.004311635427271094,-152965#1,-152965#1
3,119252,461,0.009202147833203585,-152810#6,-152810#6
3,119293,706,0.014092660239136075,153434,-152811
3,119462,103,0.0020560113380042717,-152810#5,-152810#5
3,119505,227,0.0045312094536599,152965#0,153148#2
3,119382,170,0.003393416771463361,152965#0,152965#0
3,119502,233,0.00465097710441743,152823#1,152823#1
3,119290,650,0.012974828832065792,152808#5,152808#5
3,119444,330,0.006587220791664171,152810#4,152810#4
3,119276,325,0.006487414416032896,-152810#10,-152810#10
3,118748,972,0.019402359422719923,152778,152778
3,118770,616,0.01229614547777312,-152965#0,-152965#0
3,118799,259,0.005169970257700062,-152778,-152778
3,119385,258,0.005150008982573807,152823#1,153148#2
3,119273,230,0.004591093279038665,152939#1,152939#1
3,119496,139,0.002774617242549454,-153545#0,-153545#0
3,119239,162,0.0032337265704533206,152457,153581
3,119289,244,0.0048705511308062355,-152808#3,-152808#3
3,119383,293,0.005848653611992734,152965#0,152965#0
3,119309,165,0.0032936103958320856,-152163,-152163
3,119539,103,0.0020560113380042717,-152866#0,-152866#0
3,119266,319,0.006367646765275366,152941#2,152941#2
3,119519,291,0.005808731061740224,152965#1,152965#1
3,118589,255,0.005090125157195042,-152965#2,-152965#2
3,118348,1263,0.025211090484460148,152803,152803
3,119543,186,0.003712797173483442,152810#6,152810#6
3,119319,113,0.0022556240892668226,152809,-152809
3,119536,296,0.005908537437371499,152810#6,152810#6
3,119281,856,0.017086851508074336,-152810#10,-152810#10
3,119287,319,0.006367646765275366,152939#0,152939#0
3,119282,780,0.01556979459847895,152941#1,152941#1
3,119525,215,0.004291674152144839,152810#6,152810#6
3,119522,151,0.0030141525440645148,-152866#1,-152866#1
3,118430,93,0.001856398586741721,-152826#1,-152826#1
3,118577,202,0.004032177575503523,152787,-152787
3,118407,444,0.00886280615605725,-152965#0,-152965#0
3,119384,182,0.003632952072978422,-152965#1,-152965#1
3,119267,235,0.00469089965466994,152965#0,152965#0
3,118560,162,0.0032337265704533206,152792#0,153145
3,119243,94,0.001876359861867976,-152808#0,153150#0
3,119531,420,0.008383735553027127,152808#2,152808#2
3,118785,242,0.004830628580553726,152939#1,152939#1
3,118201,332,0.006627143341916682,152459#0,152459#0
3,119268,420,0.008383735553027127,-152810#11,-152810#11
3,119544,330,0.006587220791664171,-152866#0,-152866#0
3,118791,111,0.0022157015390143124,152787,-152787
